Identifier,name,iso_region,State Abbreviation,State,City,Wikipedia Description,type,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,column_13,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
KBTR,Baton Rouge Metropolitan Airport,US-LA,LA,Louisiana,Baton Rouge,,medium_airport,30.533199,-91.149597,70,NA,US,,yes,KBTR,BTR,KBTR,BTR,,https://en.wikipedia.org/wiki/Baton_Rouge_Metropolitan_Airport,
KBTV,Patrick Leahy Burlington International Airport,US-VT,VT,Vermont,South Burlington,,medium_airport,44.471901,-73.153297,335,NA,US,,yes,KBTV,BTV,KBTV,BTV,http://www.vermontairports.com/btv.html,https://en.wikipedia.org/wiki/Burlington_International_Airport,
KBUF,Buffalo Niagara International Airport,US-NY,NY,New York,Buffalo,,large_airport,42.940498,-78.732201,728,NA,US,,yes,KBUF,BUF,KBUF,BUF,https://www.buffaloairport.com/,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport,
KBUM,Butler Memorial Airport,US-MO,MO,Missouri,Butler,,small_airport,38.28979874,-94.34010315,892,NA,US,,no,KBUM,BUM,KBUM,BUM,,,
KBUR,Hollywood Burbank Airport,US-CA,CA,California,Burbank,,medium_airport,34.197703,-118.356378,778,NA,US,,yes,KBUR,BUR,KBUR,BUR,https://www.hollywoodburbankairport.com/,https://en.wikipedia.org/wiki/Hollywood_Burbank_Airport,Bob Hope
KBUU,Burlington Municipal Airport,US-WI,WI,Wisconsin,Burlington,,small_airport,42.69070053,-88.30460358,779,NA,US,,no,,,KBUU,BUU,,https://en.wikipedia.org/wiki/Burlington_Municipal_Airport_(Wisconsin),
KBUY,Burlington Alamance Regional Airport,US-NC,NC,North Carolina,Burlington,,small_airport,36.04850006,-79.47489929,617,NA,US,,no,,,KBUY,BUY,,https://en.wikipedia.org/wiki/Burlington-Alamance_Regional_Airport,
KBVI,Beaver County Airport,US-PA,PA,Pennsylvania,Beaver Falls,,medium_airport,40.772499,-80.391403,1253,NA,US,,no,KBVI,BFP,KBVI,BVI,,https://en.wikipedia.org/wiki/Beaver_County_Airport,
KBVS,Skagit Regional Airport,US-WA,WA,Washington,Burlington,,small_airport,48.470901,-122.420998,144,NA,US,,no,KBVS,MVW,KBVS,BVS,http://www.portofskagit.com/skagit-regional-airport/,https://en.wikipedia.org/wiki/Skagit_Regional_Airport,75S
KBVY,Beverly Regional Airport,US-MA,MA,Massachusetts,Beverly / Danvers,,medium_airport,42.584202,-70.916496,107,NA,US,,no,KBVY,BVY,KBVY,BVY,http://www.beverlyairport.com/,https://en.wikipedia.org/wiki/Beverly_Municipal_Airport,
KBWG,Bowling Green Warren County Regional Airport,US-KY,KY,Kentucky,Bowling Green,,medium_airport,36.96450043,-86.41970062,547,NA,US,,no,KBWG,BWG,KBWG,BWG,,https://en.wikipedia.org/wiki/Bowling_Green-Warren_County_Regional_Airport,
KBXM,Brunswick Executive Airport,US-ME,ME,Maine,Brunswick,,medium_airport,43.89220047,-69.93859863,72,NA,US,,no,KBXM,NHZ,KBXM,BXM,http://mrra.us/brunswick-executive-airport/,https://en.wikipedia.org/wiki/Brunswick_Executive_Airport,"KHNZ, Brunswick NAS"
KBZN,Bozeman Yellowstone International Airport,US-MT,MT,Montana,Bozeman,,medium_airport,45.7775,-111.153,4473,NA,US,,yes,KBZN,BZN,KBZN,BZN,,https://en.wikipedia.org/wiki/Bozeman_Yellowstone_International_Airport,Gallatin Field
KC09,Morris Municipal Airport James R. Washburn field,US-IL,IL,Illinois,Morris,,small_airport,41.4254,-88.418701,584,NA,US,,no,,,KC09,C09,,https://en.wikipedia.org/wiki/Morris_Municipal_Airport_(Illinois),
KC16,Frasca Field,US-IL,IL,Illinois,Urbana,,small_airport,40.1464,-88.198502,735,NA,US,,no,,,KC16,C16,,https://en.wikipedia.org/wiki/Frasca_Field,
KC17,Marion Airport,US-IA,IA,Iowa,Marion,,small_airport,42.031101,-91.529297,862,NA,US,,no,,,KC17,C17,,https://en.wikipedia.org/wiki/Marion_Airport,
KC29,Middleton Municipal Morey Field,US-WI,WI,Wisconsin,Middleton,,small_airport,43.1143,-89.531502,928,NA,US,,no,,,KC29,C29,,https://en.wikipedia.org/wiki/Middleton_Municipal_Airport,
KC62,Kendallville Municipal Airport,US-IN,IN,Indiana,Kendallville,,small_airport,41.472698,-85.260803,1005,NA,US,,no,,,KC62,C62,,https://en.wikipedia.org/wiki/Kendallville_Municipal_Airport,
KC73,Dixon Municipal Charles R. Walgreen Field,US-IL,IL,Illinois,Dixon,,small_airport,41.833875,-89.443967,785,NA,US,,no,,,KC73,C73,,https://en.wikipedia.org/wiki/Dixon_Municipal_Airport,
KC77,Poplar Grove Airport,US-IL,IL,Illinois,Poplar Grove,,small_airport,42.322899,-88.836304,858,NA,US,,no,,,KC77,C77,,https://en.wikipedia.org/wiki/Poplar_Grove_Airport,
KC83,Byron Airport,US-CA,CA,California,Byron,,small_airport,37.82647,-121.621699,79,NA,US,,no,,,KC83,C83,,https://en.wikipedia.org/wiki/Byron_Airport,
KC91,Dowagiac Municipal Airport,US-MI,MI,Michigan,Dowagiac,,small_airport,41.992901,-86.127998,747,NA,US,,no,,,KC91,C91,,https://en.wikipedia.org/wiki/Dowagiac_Municipal_Airport,
KCAD,Wexford County Airport,US-MI,MI,Michigan,Cadillac,,small_airport,44.275749,-85.421534,1307,NA,US,,no,KCAD,CAD,KCAD,CAD,https://cadillacmichigan.com/cadillac-listings/wexford-county-airport/,https://en.wikipedia.org/wiki/Wexford_County_Airport,
KCAE,Columbia Metropolitan Airport,US-SC,SC,South Carolina,Columbia,,medium_airport,33.938801,-81.119499,236,NA,US,,yes,KCAE,CAE,KCAE,CAE,,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport,
KCBF,Council Bluffs Municipal Airport,US-IA,IA,Iowa,Council Bluffs,,small_airport,41.25920105,-95.76059723,1253,NA,US,,no,KCBF,CBF,KCBF,CBF,,https://en.wikipedia.org/wiki/Council_Bluffs_Municipal_Airport,
KCBG,Cambridge Municipal Airport,US-MN,MN,Minnesota,Cambridge,,small_airport,45.557499,-93.264198,945,NA,US,,no,,,KCBG,CBG,,https://en.wikipedia.org/wiki/Cambridge_Municipal_Airport_(Minnesota),
KCBK,Shalz Field,US-KS,KS,Kansas,Colby,,small_airport,39.42750168,-101.0469971,3187,NA,US,,no,KCBK,CBK,KCBK,CBK,,https://en.wikipedia.org/wiki/Colby_Municipal_Airport,Colby Municipal Airport
KCCA,Clinton Municipal Airport,US-AR,AR,Arkansas,Clinton,,small_airport,35.597801,-92.451599,514,NA,US,,no,,,KCCA,CCA,,https://en.wikipedia.org/wiki/Clinton_Municipal_Airport_(Arkansas),4M4
KCCB,Upland-Cable Airport,US-CA,CA,California,Upland,,small_airport,34.111599,-117.688004,1444,NA,US,,no,KCCB,CCB,KCCB,CCB,,https://en.wikipedia.org/wiki/Cable_Airport,
KCCO,Newnan Coweta County Airport,US-GA,GA,Georgia,Newnan,,small_airport,33.3116,-84.769798,970,NA,US,,no,,,KCCO,CCO,,https://en.wikipedia.org/wiki/Newnan%E2%80%93Coweta_County_Airport,
KCCR,Buchanan Field,US-CA,CA,California,Concord,,medium_airport,37.9897,-122.056999,26,NA,US,,yes,KCCR,CCR,KCCR,CCR,,https://en.wikipedia.org/wiki/Buchanan_Field_Airport,
KCCY,Northeast Iowa Regional Airport,US-IA,IA,Iowa,Charles City,,medium_airport,43.07260132,-92.6108017,1125,NA,US,,no,KCCY,CCY,KCCY,CCY,,https://en.wikipedia.org/wiki/Northeast_Iowa_Regional_Airport,Charles City Municipal Airport
KCDC,Cedar City Regional Airport,US-UT,UT,Utah,Cedar City,,medium_airport,37.70100021,-113.098999,5622,NA,US,,yes,KCDC,CDC,KCDC,CDC,,https://en.wikipedia.org/wiki/Cedar_City_Regional_Airport,
KCDW,Essex County Airport,US-NJ,NJ,New Jersey,Caldwell,,small_airport,40.87519836,-74.28140259,173,NA,US,,no,KCDW,CDW,KCDW,CDW,http://flycdw.com/,https://en.wikipedia.org/wiki/Essex_County_Airport,"Manhattan, New York City, NYC"
KCEU,Oconee County Regional Airport,US-SC,SC,South Carolina,Clemson,,small_airport,34.6719017,-82.8864975,892,NA,US,,no,KCEU,CEU,KCEU,CEU,http://www.oconeesc.com/Departments/AJ/Airport.aspx,https://en.wikipedia.org/wiki/Oconee_County_Regional_Airport,
KCEW,Bob Sikes Airport,US-FL,FL,Florida,Crestview,,medium_airport,30.77879906,-86.52210236,213,NA,US,,no,KCEW,CEW,KCEW,CEW,http://www.flycew.com/,https://en.wikipedia.org/wiki/Bob_Sikes_Airport,
KCEZ,Cortez Municipal Airport,US-CO,CO,Colorado,Cortez,,medium_airport,37.303001,-108.627998,5918,NA,US,,yes,KCEZ,CEZ,KCEZ,CEZ,http://www.cityofcortez.com/index.aspx?NID=113,https://en.wikipedia.org/wiki/Cortez_Municipal_Airport,
KCFJ,Crawfordsville Regional Airport,US-IN,IN,Indiana,Crawfordsville,,small_airport,39.975602,-86.919899,799,NA,US,,no,,,KCFJ,CFJ,,https://en.wikipedia.org/wiki/Crawfordsville_Regional_Airport,Crawfordsville Municipal
KCGC,Crystal River Airport,US-FL,FL,Florida,Crystal River,,small_airport,28.867246,-82.571009,9,NA,US,,no,,,KCGC,CGC,https://citrusbocc.com/departments/public_works/technical_services/crystal_river_airport.php,https://en.wikipedia.org/wiki/Crystal_River_Airport,"X31, Captain Tom Davis Field"
KCGI,Cape Girardeau Regional Airport,US-MO,MO,Missouri,Cape Girardeau,,medium_airport,37.2253,-89.570801,342,NA,US,,yes,KCGI,CGI,KCGI,CGI,,https://en.wikipedia.org/wiki/Cape_Girardeau_Regional_Airport,
KCHA,Chattanooga Metropolitan Airport (Lovell Field),US-TN,TN,Tennessee,Chattanooga,,medium_airport,35.035301,-85.203796,683,NA,US,,yes,KCHA,CHA,KCHA,CHA,https://www.flycha.com/,https://en.wikipedia.org/wiki/Chattanooga_Metropolitan_Airport,
KCHD,Chandler Municipal Airport,US-AZ,AZ,Arizona,Chandler,,small_airport,33.2691,-111.810997,1243,NA,US,,no,,,KCHD,CHD,http://www.chandleraz.gov/default.aspx?pageid=318,https://en.wikipedia.org/wiki/Chandler_Municipal_Airport,P10
KCHK,Chickasha Municipal Airport,US-OK,OK,Oklahoma,Chickasha,,small_airport,35.09740067,-97.96769714,1152,NA,US,,no,KCHK,CHK,KCHK,CHK,http://www.chickasha.org/airport/,https://en.wikipedia.org/wiki/Chickasha_Municipal_Airport,
KCHO,Charlottesville Albemarle Airport,US-VA,VA,Virginia,Charlottesville,,medium_airport,38.1385994,-78.45290375,639,NA,US,,yes,KCHO,CHO,KCHO,CHO,,https://en.wikipedia.org/wiki/Charlottesville-Albemarle_Airport,
KCHS,Charleston International Airport,US-SC,SC,South Carolina,Charleston,,medium_airport,32.898602,-80.040497,46,NA,US,,yes,KCHS,CHS,KCHS,CHS,https://www.iflychs.com/,https://en.wikipedia.org/wiki/Charleston_International_Airport,Charleston Air Force Base
KCIC,Chico Regional Airport,US-CA,CA,California,Chico,,small_airport,39.795595,-121.857716,240,NA,US,,no,KCIC,CIC,KCIC,CIC,,https://en.wikipedia.org/wiki/Chico_Municipal_Airport,
KCID,The Eastern Iowa Airport,US-IA,IA,Iowa,Cedar Rapids,,medium_airport,41.884701,-91.7108,869,NA,US,,yes,KCID,CID,KCID,CID,,https://en.wikipedia.org/wiki/The_Eastern_Iowa_Airport,Cedar Rapids Municipal
KCIN,Arthur N Neu Airport,US-IA,IA,Iowa,Carroll,,small_airport,42.0461998,-94.78900146,1204,NA,US,,no,KCIN,CIN,KCIN,CIN,http://www.cityofcarroll.com/index.php/departments/airport,https://en.wikipedia.org/wiki/Arthur_N._Neu_Airport,
KCJR,Culpeper Regional Airport,US-VA,VA,Virginia,Culpeper,,small_airport,38.526699,-77.858902,316,NA,US,,no,,,KCJR,CJR,,https://en.wikipedia.org/wiki/Culpeper_Regional_Airport,
KCKB,North Central West Virginia Airport,US-WV,WV,West Virginia,Bridgeport,,medium_airport,39.2966,-80.228104,1217,NA,US,,yes,KCKB,CKB,KCKB,CKB,,https://en.wikipedia.org/wiki/Harrison/Marion_Regional_Airport,
KCKN,Crookston Municipal Kirkwood Field,US-MN,MN,Minnesota,Crookston,,small_airport,47.84170151,-96.62159729,899,NA,US,,no,KCKN,CKN,KCKN,CKN,,https://en.wikipedia.org/wiki/Crookston_Municipal_Airport,
KCLL,Easterwood Field,US-TX,TX,Texas,College Station,,medium_airport,30.5886,-96.3638,320,NA,US,,yes,KCLL,CLL,KCLL,CLL,https://flyeasterwood.com/,https://en.wikipedia.org/wiki/Easterwood_Airport,
KCLM,William R Fairchild International Airport,US-WA,WA,Washington,Port Angeles,,medium_airport,48.120201,-123.5,291,NA,US,,no,KCLM,CLM,KCLM,CLM,,https://en.wikipedia.org/wiki/William_R._Fairchild_International_Airport,
KCLS,Chehalis Centralia Airport,US-WA,WA,Washington,Chehalis,,small_airport,46.676998,-122.983002,176,NA,US,,no,KCLS,CLS,KCLS,CLS,http://www.flycls.com/,https://en.wikipedia.org/wiki/Chehalis%E2%80%93Centralia_Airport,
KCLW,Clearwater Air Park,US-FL,FL,Florida,Clearwater,,small_airport,27.97669983,-82.75869751,71,NA,US,,no,KCLW,CLW,KCLW,CLW,http://www.clearwaterairpark.net/,https://en.wikipedia.org/wiki/Clearwater_Air_Park,Clearwater Executive
KCMA,Camarillo International Airport,US-CA,CA,California,Camarillo,,medium_airport,34.213699,-119.094002,77,NA,US,,no,,,KCMA,CMA,,https://en.wikipedia.org/wiki/Camarillo_Airport,
